Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_15_Pro
1,iPhone 15 Pro - Unlocked - 128GB - Black Titanium - Excellent,$604.00,2025-10-09,https://www.ebay.com/itm/285627322225,https://i.ebayimg.com/images/g/cxoAAOSwWs9ljI3T/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$525.95,2025-10-09,https://www.ebay.com/itm/296175164279,https://i.ebayimg.com/images/g/lFsAAOSwCVxlqvAv/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 256 GB - Black Titanium (Unlocked),$615.00,2025-10-08,https://www.ebay.com/itm/267430466829,https://i.ebayimg.com/images/g/SxQAAeSwPQ9o5qHr/s-l500.webp,256 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128GB (Unlocked) A2848 - Blue Titanium - Excellent,$549.00,2025-10-08,https://www.ebay.com/itm/317390032315,https://i.ebayimg.com/images/g/0KUAAeSwIhBo3Y6U/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 512GB Unlocked Good Condition - All Colors,$639.99,2025-10-08,https://www.ebay.com/itm/285598242600,https://i.ebayimg.com/images/g/TT4AAOSwhxNlc1MA/s-l500.webp,512 GB,Good,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro, 1TB, - Unlocked - Natural - Excellent",$729.99,2025-10-08,https://www.ebay.com/itm/406269876637,https://i.ebayimg.com/images/g/QykAAeSwUIZo5VnQ/s-l500.webp,Unknown,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent,$661.99,2025-10-08,https://www.ebay.com/itm/166613095133,https://i.ebayimg.com/images/g/b8QAAOSwsndl2OuI/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro, 128GB Black Titanium [Unlocked] Good Condition",$749.76,2025-03-15,https://www.ebay.com/itm/387907204026,https://i.ebayimg.com/images/g/gUgAAeSwgPRnp2fE/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 512GB - Blue Titanium (Unlocked) - Very Good Condition,$739.99,2025-03-28,https://www.ebay.com/itm/305892529449,https://i.ebayimg.com/images/g/F8cAAOSwWr1nKgSE/s-l500.webp,512 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB Unlocked Good Condition,$594.67,2025-10-07,https://www.ebay.com/itm/356358062668,https://i.ebayimg.com/images/g/Z2EAAOSwwstnZczg/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128 GB - Blue Titanium (Unlocked) Good Condition,$544.99,2025-10-07,https://www.ebay.com/itm/286697900636,https://i.ebayimg.com/images/g/7TgAAeSwGo9obsFf/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB Black Titanium Factory Unlocked Smartphone Good,$569.99,2025-10-06,https://www.ebay.com/itm/387757464154,https://i.ebayimg.com/images/g/CGkAAeSwt9Fo3aRP/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 256 GB - Natural Titanium (Unlocked) - Excellent Condition,$639.00,2025-10-05,https://www.ebay.com/itm/336069271920,https://i.ebayimg.com/images/g/P9gAAeSw0IFod3LD/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro 6.1"" Unlocked 1TB - (Blue Titanium) A2848 w/1 Year Warranty",$683.40,2025-10-05,https://www.ebay.com/itm/146535763727,https://i.ebayimg.com/images/g/7q8AAOSwGDNoAV-F/s-l500.webp,Unknown,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 1TB Unlocked Good Condition - All Colors,$684.99,2025-10-04,https://www.ebay.com/itm/285598242519,https://i.ebayimg.com/images/g/TMMAAOSw1Pplc1I-/s-l500.webp,Unknown,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 512GB Unlocked Excellent Condition - All Colors,$719.99,2025-10-04,https://www.ebay.com/itm/285598243270,https://i.ebayimg.com/images/g/BHcAAOSwkmJlc1KN/s-l500.webp,512 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128GB Natural *UNLOCKED* eSIM Only A2848 Excellent Refurb,$591.99,2025-10-03,https://www.ebay.com/itm/145962196048,https://i.ebayimg.com/images/g/GPkAAOSweShmO7-w/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128GB - Black Titanium (Unlocked) - 90%+ Battery Excellent,$599.00,2025-10-02,https://www.ebay.com/itm/336179238921,https://i.ebayimg.com/images/g/gs0AAeSwJKpox7u6/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128GB 256GB 512GB 1TB - All Colors - Good Condition,$516.00,2025-10-02,https://www.ebay.com/itm/276437131138,https://i.ebayimg.com/images/g/EwcAAOSwQ0dmKCyi/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128GB 256GB 512GB 1TB - All Colors - Very Good Condition,$572.00,2025-10-02,https://www.ebay.com/itm/285827503187,https://i.ebayimg.com/images/g/fsUAAOSwxuNmKCqd/s-l500.webp,128 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 256GB - Unlocked - Black Titanium - Excellent,$675.00,2025-10-01,https://www.ebay.com/itm/276272698311,https://i.ebayimg.com/images/g/eZkAAOSwcAZlgzv1/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB Black *UNLOCKED* [eSIM Only A2848] Excellent Refurb,$595.99,2025-10-01,https://www.ebay.com/itm/146051666890,https://i.ebayimg.com/images/g/R9YAAOSwYNJmAeNW/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 256GB GSM/CDMA Unlocked Phone - Black Titanium - Very Good,$799.99,2024-08-15,https://www.ebay.com/itm/256559961963,https://i.ebayimg.com/images/g/fUUAAOSwsJlmgtFH/s-l500.webp,256 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128GB - Unlocked - Blue Titanium - Excellent,$612.00,2025-10-01,https://www.ebay.com/itm/276309358825,https://i.ebayimg.com/images/g/~NoAAOSw00plSlSy/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 512GB ( Unlocked) US E-Sim Version. Excellent,$759.99,2025-10-01,https://www.ebay.com/itm/156119977855,https://i.ebayimg.com/images/g/b8QAAOSwsndl2OuI/s-l500.webp,512 GB,Excellent,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro 128GB Unlocked 6.1"" (Natural Titanium) A2849 - w/Warranty",$581.32,2025-09-30,https://www.ebay.com/itm/376207274564,https://i.ebayimg.com/images/g/N8UAAOSwAnZoD~fs/s-l500.webp,128 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 512GB - Natural Titanium (Unlocked) - Good Condition,$689.99,2025-03-31,https://www.ebay.com/itm/305874638373,https://i.ebayimg.com/images/g/8IsAAOSwVG9m4W45/s-l500.webp,512 GB,Good,False,iPhone 15 Pro,True
