Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16_Pro_Max
1,Apple iPhone 16 Pro Max A3084 Unlocked 512GB White Titanium - Good,$899.00,2025-10-06,https://www.ebay.com/itm/227002848791,https://i.ebayimg.com/images/g/z3QAAeSw245o3ZZn/s-l500.webp,512 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 1TB Natural Titanium (Unlocked / A3084) MYWF3LL/A,"$1,229.00",2025-10-05,https://www.ebay.com/itm/146868564321,https://i.ebayimg.com/images/g/5WIAAeSwrodo1-d3/s-l500.webp,Unknown,Unknown,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Natural Titanium Unlocked US Model • Excellent,$869.00,2025-10-03,https://www.ebay.com/itm/127410623277,https://i.ebayimg.com/images/g/M1YAAeSwyGho3-bu/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 1TB Natural Titanium (Unlocked / A3084) MYWF3LL/A,"$1,249.00",2025-10-03,https://www.ebay.com/itm/127397986294,https://i.ebayimg.com/images/g/5WIAAeSwrodo1-d3/s-l500.webp,Unknown,Unknown,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max A3084 Unlocked 256GB White Titanium -Good,$799.00,2025-10-03,https://www.ebay.com/itm/227002848829,https://i.ebayimg.com/images/g/46YAAeSw6kJo3Zdm/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max A3084 Unlocked 256GB Natural Titanium  Good,$799.00,2025-10-02,https://www.ebay.com/itm/227002848870,https://i.ebayimg.com/images/g/UGMAAeSwmENo3ZaN/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Black Titanium - 256GB - Good,$862.00,2025-10-02,https://www.ebay.com/itm/286385382397,https://i.ebayimg.com/images/g/UaAAAOSw3rhm-t85/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB White Titanium (Unlocked / A3084),"$1,079.00",2025-10-02,https://www.ebay.com/itm/127406423764,https://i.ebayimg.com/images/g/oM0AAeSwmENo3Tng/s-l500.webp,512 GB,Unknown,False,iPhone 16 Pro Max,True
1,"Apple iPhone 16 Pro Max (1TB, 8GB) 6.9"", iOS 18, 5G / 4G LTE AT&T Locked","$1,036.99",2025-05-23,https://www.ebay.com/itm/135673968716,https://i.ebayimg.com/images/g/wHwAAeSwAyFoxicW/s-l500.webp,Unknown,Unknown,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Black Titanium Unlocked Excellent - 90%+ Battery,$989.99,2025-10-01,https://www.ebay.com/itm/286848068210,https://i.ebayimg.com/images/g/agkAAeSwTKNo3sAx/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Desert Titanium - 1TB - Excellent,"$1,159.00",2025-09-28,https://www.ebay.com/itm/276775736849,https://i.ebayimg.com/images/g/3jAAAOSwc3JnMoJb/s-l500.webp,Unknown,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - 256GB - Black Titanium (Unlocked)- Very Good Condition,$929.99,2025-09-28,https://www.ebay.com/itm/306503320595,https://i.ebayimg.com/images/g/2pYAAOSw2epnQMyd/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Unlocked eSim Only Natural Titanium A3084 Good,$934.95,2025-03-28,https://www.ebay.com/itm/405703045187,https://i.ebayimg.com/images/g/t84AAOSwfXVn5maR/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
