Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S24
1,Samsung Galaxy S24 FE - Unlocked - Blue - 128GB - Very Good,$265.00,2025-04-16,https://www.ebay.com/itm/276827405867,https://i.ebayimg.com/images/g/KOcAAOSwehlngVY1/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24+ Plus 5G S926U 256GB Unlocked Smartphone - Very Good,$384.99,2025-10-23,https://www.ebay.com/itm/157371133966,https://i.ebayimg.com/images/g/Q38AAeSwHM1o5COU/s-l500.webp,256 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 5G S921U1 128GB Unlocked Refurbished - Free 2 Day Shipping,$345.99,2025-10-22,https://www.ebay.com/itm/326829966223,https://i.ebayimg.com/images/g/cjoAAeSwvrlo-Rnk/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,"Samsung Galaxy S24, 5G 128/256GB  Unlocked - Refurbished Excellent",$449.99,2025-10-22,https://www.ebay.com/itm/226908795869,https://i.ebayimg.com/images/g/XfUAAOSwSh1npRBD/s-l500.webp,256 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G VIOLET Unlocked #L350,$364.00,2025-10-22,https://www.ebay.com/itm/116838708239,https://i.ebayimg.com/images/g/HzIAAeSwVNZo2Y1d/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 FE SM-S721U1  128GB 5G Graphite Unlocked #L240,$269.00,2025-10-22,https://www.ebay.com/itm/127444774639,https://i.ebayimg.com/images/g/Wv8AAeSwRYxozM2E/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ PLUS  512GB SM-S926U1  Sandstone Orange (Unlocked) #L681,$494.00,2025-10-22,https://www.ebay.com/itm/116840225420,https://i.ebayimg.com/images/g/aBUAAeSwq~1o-Qnt/s-l500.webp,512 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G Black Unlocked #L626,$384.00,2025-10-22,https://www.ebay.com/itm/127446822919,https://i.ebayimg.com/images/g/c9UAAeSwoMNo-Rky/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U1 5G 128GB Violet Purple (Unlocked) #L598,$274.00,2025-10-22,https://www.ebay.com/itm/116826050291,https://i.ebayimg.com/images/g/FC4AAeSwT1ho7SUm/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 FE 128GB  Blue SM-S721U1 5G FACTORY UNLOCKED,$339.00,2025-10-22,https://www.ebay.com/itm/146570045409,https://i.ebayimg.com/images/g/l~UAAOSwNctoHPTo/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ 256GB (Unlocked) - Cobalt Violet,$324.98,2025-10-22,https://www.ebay.com/itm/317446593136,https://i.ebayimg.com/images/g/cR4AAeSwdVFo-S-4/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ SM-S926U Spectrum Unlocked 256GB Cobalt Violet Good,$387.64,2025-10-22,https://www.ebay.com/itm/186967622734,https://i.ebayimg.com/images/g/rlYAAeSwFOpntRUN/s-l500.webp,256 GB,Good,False,Galaxy S24,True
1,REFURBISHED Samsung Galaxy S24  128GB 5G SM-S921U1 Onyx Black FACTORY UNLOCKED,$319.00,2025-10-22,https://www.ebay.com/itm/127353852614,https://i.ebayimg.com/images/g/Vy0AAOSwak1nprHw/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Galaxy S24 Fe (SM-S721W) 128GB Graphite Unlocked 1 YEAR WARRANTY,$372.15,2025-10-22,https://www.ebay.com/itm/177432231907,https://i.ebayimg.com/images/g/YGUAAeSwGuRo0Z2g/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Galaxy S24 (SM-S921W) 128GB Amber Yellow Unlocked | Excellent 1 YEAR WARRANTY,$393.66,2025-10-22,https://www.ebay.com/itm/177432228391,https://i.ebayimg.com/images/g/9VAAAeSwaA5o0ZzG/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24 FE - 128GB - Graphite (Carrier Unlocked) B-Stock,$287.98,2025-10-21,https://www.ebay.com/itm/156772668238,https://i.ebayimg.com/images/g/iawAAOSwgFZnwj-w/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,"Samsung Galaxy S24 5G 128GB 6.2"" Smartphone - VERY GOOD",$298.00,2025-10-21,https://www.ebay.com/itm/326397614812,https://i.ebayimg.com/images/g/GqIAAOSweypnfbKw/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24+ 256GB (Unlocked) - Cobalt Violet,$384.98,2025-10-21,https://www.ebay.com/itm/146910507315,https://i.ebayimg.com/images/g/5y4AAeSwdTVo9-T3/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U1 5G 256GB Black (FACTORY Unlocked) #L458,$379.00,2025-10-21,https://www.ebay.com/itm/116826344892,https://i.ebayimg.com/images/g/MpMAAeSwbodo7Wiu/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U1 5G 256GB violet  (FACTORY Unlocked) #L389,$389.00,2025-10-21,https://www.ebay.com/itm/116829690075,https://i.ebayimg.com/images/g/l9wAAeSwO3Fo2X-B/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ SM-S926U Unlocked 256GB Onyx Black Good,$387.64,2025-10-21,https://www.ebay.com/itm/176487716607,https://i.ebayimg.com/images/g/NdYAAOSwKmNmoQMF/s-l500.webp,256 GB,Good,False,Galaxy S24,True
1,Samsung Galaxy S24 FE (5G) - 128GB Mint Green *UNLOCKED* [SM-S721U] Excellent,$317.99,2025-10-21,https://www.ebay.com/itm/146290695388,https://i.ebayimg.com/images/g/Mk4AAOSwdDBnae2J/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24+ Plus 5G  512GB Cobalt Violet *UNLOCKED* [SM-S926U] Very Good,$524.99,2025-10-21,https://www.ebay.com/itm/146307191996,https://i.ebayimg.com/images/g/w9EAAOSwLnlndDbT/s-l500.webp,512 GB,Very Good,False,Galaxy S24,True
1,"Samsung Galaxy S24+ Plus 5G 256GB 6.7"" Smartphone - VERY GOOD",$446.00,2025-10-21,https://www.ebay.com/itm/226741605906,https://i.ebayimg.com/images/g/OgYAAOSwRZ5oHScN/s-l500.webp,256 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U1 5G 256GB Black (FACTORY Unlocked) #L599,$399.00,2025-10-20,https://www.ebay.com/itm/116826051088,https://i.ebayimg.com/images/g/wiIAAeSwWtpo7SVv/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ Unlocked 256GB SM-S926U1 Cobalt Violet Very Good,$374.99,2025-10-20,https://www.ebay.com/itm/406275170857,https://i.ebayimg.com/images/g/OEoAAeSwSdJo56qb/s-l500.webp,256 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 - Unlocked - Excellent Condition (1Year Warranty),$469.52,2025-04-22,https://www.ebay.com/itm/167466811790,https://i.ebayimg.com/images/g/1uEAAOSwXmpmKlJi/s-l500.webp,Unknown,Excellent,False,Galaxy S24,True
