Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9_Pro
1,Google Pixel 9 Pro Fold 256GB Porcelain Unlocked Good Condition,$849.99,2025-10-02,https://www.ebay.com/itm/286550972690,https://i.ebayimg.com/images/g/9OsAAeSwlaFoycIz/s-l140.webp,256 GB,Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro - 128 GB - Obsidian (Unlocked) Excellent Refurbished,$569.99,2025-10-02,https://www.ebay.com/itm/286834831667,https://i.ebayimg.com/images/g/qMIAAeSw5bVo0Z2o/s-l140.webp,128 GB,Excellent,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Unlocked 256GB 6.3"" 5G Dual SIM Obsidian Black GA05945-US",$644.99,2025-10-02,https://www.ebay.com/itm/197742745354,https://i.ebayimg.com/images/g/qwYAAOSwBB9nI79a/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Unlocked 256GB 6.3"" 5G Dual SIM Obsidian Black GA05945-US",$664.99,2025-05-15,https://www.ebay.com/itm/196978033645,https://i.ebayimg.com/images/g/qwYAAOSwBB9nI79a/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro GR83Y 256GB Unlocked Very Good Condition,$673.10,2025-10-01,https://www.ebay.com/itm/357604240348,https://i.ebayimg.com/images/g/PWAAAeSwB0RowvMj/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - Unlocked - Porcelain - 256GB - Very Good,$879.00,2025-10-01,https://www.ebay.com/itm/286425224528,https://i.ebayimg.com/images/g/jrgAAOSwCv5nr8CL/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - Unlocked - Obsidian - 512GB - Excellent,$909.95,2025-10-01,https://www.ebay.com/itm/127404647478,https://i.ebayimg.com/images/g/x0EAAeSwfo5o3Bu8/s-l140.webp,512 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 256GB Rose Quartz Unlocked Excellent Condition,$699.99,2025-10-01,https://www.ebay.com/itm/286677175955,https://i.ebayimg.com/images/g/6N4AAeSwSWlo3Bh2/s-l140.webp,256 GB,Excellent,False,Pixel 9 Pro,True
1,Factory Unlocked - Google Pixel 9 Pro Fold GGH2X 256GB - All Colors - Very Good,$609.99,2025-10-01,https://www.ebay.com/itm/146847767891,https://i.ebayimg.com/images/g/TowAAOSwCxdn94hi/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Factory Unlocked All Colors/Memory - Excellent,$649.99,2025-09-30,https://www.ebay.com/itm/126964599434,https://i.ebayimg.com/images/g/9ZIAAOSwOC9n0LGR/s-l140.webp,Unknown,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - 512 GB - Obsidian (Unlocked) Excellent,$914.99,2025-09-29,https://www.ebay.com/itm/146827331615,https://i.ebayimg.com/images/g/o-UAAeSwvQ9ow72U/s-l140.webp,512 GB,Excellent,False,Pixel 9 Pro,True
