Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S22,Galaxy_S23,Galaxy_S24,Galaxy_S25,year,Month,Price_num,Galaxy_S22Plus,Galaxy_S23Plus,Galaxy_S24Plus,Galaxy_S25Plus,Galaxy_S22_Ultra,Galaxy_S23_Ultra,Galaxy_S24_Ultra,Galaxy_S25_Ultra
1,Samsung Galaxy S22 5G S901U Verizon Straight Talk Unlocked T-Mobile AT&T Mint,$151.99,2025-09-17,https://www.ebay.com/itm/177139797785,https://i.ebayimg.com/images/g/htYAAOSw1ytn7tE0/s-l500.webp,Unknown,Unknown,False,Galaxy S22,True,,,,2025.0,9.0,151.99,,,,,,,,
2,Samsung Galaxy S22 SM-S901U Unlocked 128GB Pink Gold Very Good,$204.37,2025-10-19,https://www.ebay.com/itm/176486251527,https://i.ebayimg.com/images/g/C3QAAOSweEdmn-SD/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,204.37,,,,,,,,
2,Samsung Galaxy S22 5G SM-S901U 256GB 8GB Unlocked Black Good Condition,$206.10,2025-10-19,https://www.ebay.com/itm/406149892931,https://i.ebayimg.com/images/g/eWsAAeSwwFpokFTp/s-l500.webp,256 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,206.1,,,,,,,,
2,Samsung Galaxy S22 Purple 256GB Good - Refurbished  - Unlocked,$175.99,2025-10-18,https://www.ebay.com/itm/127392824476,https://i.ebayimg.com/images/g/fBYAAeSwXgppAgin/s-l500.webp,256 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,175.99,,,,,,,,
2,Samsung Galaxy S22 White 256GB Good - Refurbished  - Unlocked,$183.99,2025-09-18,https://www.ebay.com/itm/127376280093,https://i.ebayimg.com/images/g/jakAAeSw7EFo4rh0/s-l500.webp,256 GB,Good,False,Galaxy S22,True,,,,2025.0,9.0,183.99,,,,,,,,
2,Samsung Galaxy S22 5G SM-S901U - 256GB - Green (Unlocked) - Good Condition,$168.20,2025-10-17,https://www.ebay.com/itm/306493877828,https://i.ebayimg.com/images/g/sUYAAeSwNKdovmg3/s-l500.webp,256 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,168.2,,,,,,,,
2,Samsung Galaxy S22 - Factory Unlocked - 256GB - Green - Good,$189.00,2023-03-17,https://www.ebay.com/itm/275749717373,https://i.ebayimg.com/images/g/iykAAOSwtnNirPNi/s-l500.webp,256 GB,Good,False,Galaxy S22,True,,,,2023.0,3.0,189.0,,,,,,,,
2,Samsung Galaxy S22 5G 128GB Unlocked Very Good Condition,$142.50,2025-10-16,https://www.ebay.com/itm/357459875968,https://i.ebayimg.com/images/g/XcYAAeSwl~Ronit6/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,142.5,,,,,,,,
2,Samsung Galaxy S22 Gold 128GB Very Good - Refurbished  - Unlocked,$166.99,2025-09-15,https://www.ebay.com/itm/127244140413,https://i.ebayimg.com/images/g/8lgAAeSwIxVo3HnZ/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,9.0,166.99,,,,,,,,
2,Samsung Galaxy S22 Gold 128GB Excellent - Refurbished  - Unlocked,$174.99,2025-09-13,https://www.ebay.com/itm/127187183408,https://i.ebayimg.com/images/g/~PYAAeSwFo9o5DK0/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,9.0,174.99,,,,,,,,
2,Samsung Galaxy S22 Purple 256GB Very Good - Refurbished  - Unlocked,$185.99,2025-10-16,https://www.ebay.com/itm/127264717153,https://i.ebayimg.com/images/g/l6UAAeSw9whpANKR/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,185.99,,,,,,,,
