Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_12_Pro,iPhone_13_Pro,iPhone_14_Pro,iPhone_15_Pro,iPhone_16_Pro,iPhone_17_Pro
2,Apple iPhone 12 PRO Verizon AT&T T-Mobile GSM Factory Unlocked Phone - Very Good,$314.95,2025-09-28,https://www.ebay.com/itm/363634985816,https://i.ebayimg.com/images/g/oekAAOSwv91hn9Sn/s-l500.webp,Unknown,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro Unlocked (Any Carrier) SmartPhone 128GB 256GB 512GB Good,$283.99,2025-09-28,https://www.ebay.com/itm/235370222856,https://i.ebayimg.com/images/g/v~QAAOSwR7VhKb-c/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 256 GB - Pacific Blue - Unlocked - Excellent Refurbished,$279.00,2025-09-28,https://www.ebay.com/itm/127019627584,https://i.ebayimg.com/images/g/AJsAAOSwMWJj6~sY/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 256 GB - Graphite  - Unlocked - Excellent Refurbished,$293.99,2025-09-27,https://www.ebay.com/itm/127225284447,https://i.ebayimg.com/images/g/2lUAAeSwippocCsF/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,"Apple iPhone 12 Pro 256GB 6.1"" Fully Unlocked, Graphite",$289.99,2025-09-27,https://www.ebay.com/itm/317276487518,https://i.ebayimg.com/images/g/6H4AAeSwHChoxKoQ/s-l500.webp,256 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro Unlocked (A2341) - Pristine Condition,$459.99,2024-01-23,https://www.ebay.com/itm/154307678270,https://i.ebayimg.com/images/g/FPwAAOSwwhZmu9FE/s-l500.webp,Unknown,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 256GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$275.95,2025-09-26,https://www.ebay.com/itm/294462408447,https://i.ebayimg.com/images/g/IXQAAOSw0IFlDbuU/s-l500.webp,256 GB,Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$284.95,2025-09-25,https://www.ebay.com/itm/294513629061,https://i.ebayimg.com/images/g/dw8AAOSw3S5m2wnt/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 5G 128GB 256GB 512GB Fully Unlocked 4G LTE Grade B+,$319.99,2025-09-25,https://www.ebay.com/itm/275177593990,https://i.ebayimg.com/images/g/gLQAAOSwtYNf28h1/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,iPhone 12 Pro - Factory Unlocked - 128GB - Blue - Good,$265.00,2025-09-19,https://www.ebay.com/itm/276255224080,https://i.ebayimg.com/images/g/7-MAAOSwVfllju0c/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
